"","texts","dates","titles"
"172","
                    
                        Consultation on new approach to prevent food insecurity.
                    

Proposals to end the need for food banks as a primary response to food insecurity have been published.
Views are being sought on the Scottish Government’s draft national plan, which is supported by food bank operators, including the Trussell Trust and Independent Food Aid Network.
The plan follows action during the pandemic to prevent food insecurity through strengthening household incomes and the delivery of cash-first responses to financial hardship.
Social Justice Secretary Shona Robison said:
“We share the same vision as food bank operators – they are not a long term solution to poverty. Our draft plan sets out what we will do within our powers – including introducing a shopping voucher pilot scheme - to make food banks the last port of call.  
“Over the last year we have invested around £2.5 billion to support low income households, including nearly £1 billion to directly support children.
“Despite our fixed budget and limited powers we are taking action to support those in poverty, including discussions around establishing a minimum income guarantee for Scotland.
“As part of the right to an adequate standard of living, people need to be able to access food that meets their dietary, social and cultural needs and this plan shows the way forward.”
Sabine Goodwin, co-ordinator of the Independent Food Aid Network, which represents more than 500 food banks across the UK, said: ""As the cut to Universal Credit and cost of living increases exacerbate poverty in Scotland, the publication of the draft national plan to end the need for food banks couldn't be more timely.
“With a cash first, collaborative approach to food insecurity as the cornerstone of this plan, a time when food banks will no longer be needed to plug the gaps left by financial hardship is within sight.""
Background
Ending the Need for Food Banks consultation 
The draft national plan aligns with the Scottish Government’s national mission to eradicate poverty, the Tackling Child Poverty Delivery Plan and Good Food Nation ambition.
The Statement on Food Insecurity and Poverty published in February, details the Scottish Government’s approach to human rights, prioritising action that prevents poverty and promoting cash-first responses alongside holistic support services where needed.            ",2021-10-20,"National plan to end need for food banks"
"173","
                    
                        Record winter funding package to help increase NHS and social care capacity this winter.
                    

A substantial new investment of over £300 million in hospital and community care has been unveiled to help tackle what is anticipated to be the toughest winter the NHS and social care system has ever faced.
The new multi-year funding will support a range of measures to maximise capacity in our hospitals and primary care, reduce delayed discharges, improve pay for social care staff, and ensure those in the community who need support receive effective and responsive care.
The NHS and Care Winter Package of additional funding includes:
Recruiting 1,000 additional NHS staff to support multi-disciplinary working
£40 million for ‘step-down’ care to enable hospital patients to temporarily enter care homes, or receive additional care at home support, with no financial liability to the individual or their family towards the cost of the care home
Over £60 million to maximise the capacity of care at home services
Up to £48 million will be made available to increase the hourly rate of social care staff to match new NHS band 2 staff
£20 million to enhance Multi-Disciplinary Teams, enable more social work assessments to be carried out and support joint working between health and social care
£28 million of additional funding to support primary care
£4.5 million available to Health Boards to attract at least 200 registered nurses from outwith Scotland by March 2022
£4 million to help staff with their practical and emotional needs, including pastoral care and other measures to aid rest and recuperation
Health Secretary Humza Yousaf said:
“As the winter period approaches, it is vital that we do all we can to maximise the capacity of the NHS and social care system. That’s why I’m setting out our £300 million NHS and Care Winter Package today. We cannot look at the NHS in isolation we must take a whole systems approach and these measures will help alleviate pressure across the NHS and social care.
“This significant new investment will help get people the care they need as quickly as possible this winter. Bolstering the caring workforce by increasing their numbers, providing them with additional support, and increasing the wages of social care staff.
“We’ve previously provided funding to ensure that adult social care staff are paid at least the real living wage. Today we’re going further and our new investment will ensure that adult social care staff who are currently paid the real living wage will get a pay rise of over 5%
“Measures I have announced today will help patients whose discharge has been delayed waiting for care and help get them out of hospital and on to the next stage in their care. This helps the individual by getting them the right care, and helps the wider system by ensuring the hospital capacity is being used by those who need that specialist level of clinical care.
“This £300 million of new funding will also fund increases in social care capacity in the community and in primary care - helping to ease the pressure on unpaid carers.
“Our NHS, social care staff and social work staff have been remarkable throughout the pandemic and today’s additional investment will help support them to deliver care to people across Scotland this winter.”
ENDS
Background note:             
 Providing interim care ‘step-down’ beds:
Local teams will work with patients and their families to explore options, maintaining choice and control
Individuals will be asked for consent to be discharged to a care home on an interim basis for a period of up to six weeks through an expedited process. This is expected to be in their immediate locality or other suitable location
An interim place will be offered when social care is unable to provide an appropriate care at home package immediately, or if someone’s first choice care home is temporarily unavailable
Enhancing care at home services:
To help address the pressure on social care, this funding will help to increase social worker assessment capacity,  fulfil unmet need, and deal with the current surge in demand and complexity of individual needs, also helping to ease pressures on unpaid carers
Social Care Pay
Additional funding of up to £48 million will be made available, this financial year to enable employers to provide an uplift to the hourly rate of pay for staff offering Direct Care within Adult Social Care to a minimum £10.02 per hour (matching the first spine point of NHS Agenda for Change Band 2)
Recruitment
Up to £15 million this financial year to recruit 1,000 additional healthcare support staff in bands 2, 3 and 4, to support patients in hospitals and in community health teams.
New measures will support people who have recently retired from the health and social care workforce to return, if they wish to, and also enable healthcare students to work in part-time support roles 
Primary Care
Up to £28m of additional funding will underpin a range of measures including accelerated multi-disciplinary recruitment to aid General Practice and targeted funding to tackle the backlog in routine dental care
 Wellbeing
Additional package of support of £4 million for staff wellbeing focusing on people’s physical and emotional needs
 
             ",2021-10-05,"Over £300 million new winter investment for health and care"
"174","
                    
                        Calls to keep ‘lifeline’ £20-a-week uplift.
                    

First Minister Nicola Sturgeon has joined with the First Minister of Wales and the First Minister and deputy First Minister of Northern Ireland to demand Prime Minister Boris Johnson “do the right thing” by reversing the decision to withdraw the £20-a-week uplift to Universal Credit.
In a rare joint intervention, the leaders of the devolved nations have warned in a letter that the UK Government “is withdrawing this lifeline just as the country is facing a significant cost-of-living crisis.”
They have urged the Prime Minister to “consider the moral, social and economic harms” of the of this cut, and “do the right thing” and reverse his government’s decision to withdraw this funding which will harm around 6 million people across the UK.
The First Minister, along with Welsh First Minister Mark Drakeford and Northern Ireland First Minister and deputy First Minister Paul Givan and Michelle O’Neill say the move, which comes into effect this Wednesday, 6 October, is short sighted at a time of increases in the cost of food and fuel, rising inflation, the end of the furlough scheme, and imminent rise in National Insurance contributions.
First Minister Nicola Sturgeon said:
“I do not think there has been anything quite so morally indefensible in UK policy in recent times as the proposed cut to Universal Credit.
“At a time when we are facing the impact of the pandemic, Brexit and soaring costs, removing £20 per week from the lowest-income households simply cannot be defended in any way, shape or form.
“The planned cut represents the biggest overnight reduction to the basic rate of social security in more than 70 years and would sever a crucial lifeline for countless households across the UK at a time when budgets are already facing an unprecedented squeeze.
“It is an immoral, ill-thought out and ultimately counterproductive policy which simply must be stopped.  
“Those on low incomes are going to find it difficult to feed their children, heat their homes, and pay their rent if the cut goes ahead. We have therefore united as the leaders of Scotland, Wales and Northern Ireland to say to the Prime Minister: ‘Do not do this.’”
The full text of the letter is included below:
Dear Prime Minister
We are writing to call on you, with the utmost urgency, to reverse your Government’s short-sighted decision to withdraw the £20-per-week uplift to Universal Credit.
Your Government is withdrawing this lifeline just as the country is facing a significant cost-of-living crisis. This winter millions of people are facing an untenable combination of increases to the cost of food and energy, rising inflation, the end of the furlough scheme, and an imminent hike to National Insurance contributions.
There is no rationale for cutting such crucial support at a point when people across the UK are facing an unprecedented squeeze on their household budgets.
Within the last month, an overwhelming majority of elected members in Holyrood, the Senedd, Stormont and Westminster have voiced their opposition to this cut to Universal Credit, as have the four social security committees of each parliament. The four Children’s Commissioners of each nation, numerous charities and faith groups have also expressed their grave concerns as have millions of people who face additional and unnecessary hardship because of this cut to Universal Credit against the backdrop of a winter of hardship.
We note your Government’s announcement of a Household Support Fund – an acknowledgment that too many people will be unable to make ends meet this winter. Unfortunately, a £500 million fund handed out on a discretionary basis is wholly inadequate to making up the £6 billion shortfall in social security expenditure that will result from the cut to Universal Credit.
Your Government has repeatedly refused to conduct any impact analysis on the biggest overnight reduction to the basic rate of social security for more than 70 years.
As such, it is important that we draw your attention to the growing body of evidence and analysis about the harm this cut will inflict. Research by the Resolution Foundation and the Trussell Trust has highlighted the significant and devastating impact the cliff-edge withdrawal of the £20-a-week uplift to Universal Credit will have on family incomes, with an associated rise in food insecurity. The Legatum Institute has produced sobering analysis highlighting that the £20-per-week uplift has kept 840,000 people, including 290,000 children, out of poverty in Q2 of 2021. It makes no sense at all to knowingly pursue a policy that will result in this immense and needless rise in child poverty and we ask you to consider the lasting harm and costs of this cut accordingly.
It is important to note that this will increase poverty and hardship without delivering any tangible social or economic benefits. The UN Special Rapporteur on Extreme Poverty and Human Rights said – when calling upon you to reverse this cut – that for a healthy and well-qualified workforce to emerge, your Government must provide adequate levels of social protection. Years of a freeze on benefits means Universal Credit has not kept pace with rising living costs. Further to this, rising inflation means that a basic rate of Universal Credit after this cut will hold less purchasing power than it did in March 2020.
To support a meaningful recovery from this pandemic we must first ensure the needs of our most vulnerable are met. This cut threatens to undermine the recovery by diminishing the capacity of six million people to make ends meet.
It is not too late for you to reverse the decision to take money out of the pockets of the poorest in society at a time when they are facing a serious cost of living crisis.
We, with the full support of the Northern Ireland Executive and the Scottish and Welsh Governments, urge you to consider the moral, social and economic harms of this cut, and do the right thing and reverse your decision to withdraw this lifeline.
A copy of this letter is being sent to the Secretary of State for Work and Pensions, the Chancellor of the Exchequer and relevant Secretary of States for the devolved nations.
Yours sincerely
Nicola Sturgeon 
First Minister of Scotland
Mark Drakeford
First Minister of Wales
Paul Givan
First Minister of Northern Ireland
Michelle O’Neill
Deputy First Minister            ",2021-10-03,"First Ministers unite to demand Prime Minister reverses Universal Credit cut"
"175","
                    
                        £2.6 million further funding.
                    

Further funding has been announced to provide short-term care for acutely unwell patients in their own homes.
An additional £2.6 million has been shared between ten health boards so they can continue to develop Hospital at Home services to avoid admissions to hospital.
Evidence shows this particularly benefits frail and elderly patients, since hospital admissions are associated with higher rates of delirium and increased chances of admission directly to care homes. A patient’s ability to function can also deteriorate while they are in hospital, meaning they have higher needs for community care when they are discharged, and are also more likely to experience a delay in their discharge from hospital.
Being cared for by Hospital at Home increases the likelihood a patient can continue living at home six months after a period of acute illness, without being admitted to a care home.
Health Secretary Humza Yousaf said:
“We know hospitals are often not the best places for frail older people. Hospital at Home provides a safe and cost-effective alternative which focuses on the individual patient’s needs.
“Across Scotland 19 Health and Social Care Partnerships within ten health boards are currently developing a Hospital at Home service. This funding brings the total invested in Hospital at Home to just under £4 million.
“We know older people are increasing in numbers and occupy a large proportion of hospital beds when they become frail. If some of these admissions can be avoided, with improved outcomes for patients, everyone benefits.”
             ",2021-08-31,"Hospital at Home"
"176","
                    
                        Funding for aid in Malawi, Rwanda and Zambia.
                    

A grant of more than £270,000 from the Scottish Government’s International Development Fund will fund the supply of 300 items of vital equipment to treat Covid-19 patients in Africa.
The funding will allow Kids Operating Room, a Scottish-based global health charity, to distribute 100 oxygen concentrators each to Malawi, Rwanda, and Zambia.
Covid-19 cases in Malawi, Rwanda and Zambia are rising quickly, with the health system in Zambia especially under severe stress.
One of the biggest impacts of the rise in Covid-19 cases is a shortage of oxygen, and oxygen concentrators are easy to use, are suitable for patients of all ages, and can be used throughout the health service.
External Affairs Secretary Angus Robertson said:
“The Covid situation in Malawi, Rwanda and Zambia has become very serious, very quickly, and we know that the pressure on health services are putting great stress on their infrastructure, especially in relation to the delivery of oxygen to patients.
“This funding for oxygen concentrators will go some way to help ease the current stress on the health services in our three African partner countries, and we are delighted to work with Kids Operating Room to make sure this vital equipment is put to use as soon as possible.
“Scotland remains fully committed to playing our part in tackling shared global challenges, and we are committed to increase the International Development Fund (IDF) by 50% to £15 million.
“As the global pandemic continues, we firmly believe this is not the time to turn our back on the poorest and those in dire need – instead, this is precisely the moment when we should be living up to our core values.”
David Cunningham, the chief executive officer of Kids Operating Room, said: “Our model is to listen to doctors, then give them what they need - right now, the message is coming back loud and clear that what they need is access to more oxygen to fight Covid-19.
“Oxygen concentrators are key pieces of equipment that are needed to meet the region’s critical oxygen shortage. They are suitable for all ages and durable for years to come post-Covid, making them incredibly essential to support the health services in the long-term.""
Background
Kids Operating Room is a Scottish global health charity with bases in Edinburgh, Dundee and Nairobi. It works directly with local surgeons and their teams across Africa and South America to transform hospital spaces into dedicated operating rooms for children’s surgery.
Oxygen concentrators provide a sustainable and cost-effective source of medical oxygen – they draw air from the environment and then concentrate that room oxygen to therapeutic levels for delivery to patients.
The charity will coordinate the distribution of the oxygen equipment.  They will arrange for delivery to doctors in Lusaka, Lilongwe and Kigali, and have the equipment distributed to the most in-demand hospitals.            ",2021-07-17,"Vital equipment to fight Covid-19 crisis in Africa"
"177","
                    
                        Support scheme to be introduced this year.
                    

Hundreds of paramedic students in Scotland will receive an annual bursary of  £10,000 as part of a new scheme unveiled today.
An estimated 668 students will be eligible for the Paramedic, Nursing and Midwifery Student Bursary (PNMSB) for courses starting this September. The number of eligible students is expected to rise to almost 900 next year. 
Scottish-domiciled paramedic students who have already applied for undergraduate student funding  do not need to re-apply. The Student Awards Agency Scotland (SAAS) will automatically reassign students to the new funding package.
The new award, which will be paid  over 12 months each academic year, was unveiled by Health Secretary Humza Yousaf during a visit to an ambulance station in Dundee where the minister met  paramedic students.
Mr Yousaf said: ""The introduction of this bursary for our paramedic students fulfils this Government's pledge to bolster support for this crucial service.
""Paramedics have been a driving force in maintaining NHS services throughout the COVID-19 pandemic and I am determined to ensure we attract and support the next generation of these vital workers.
""Scottish student paramedics, studying in Scotland, will be able to apply for a bursary of  £10,000 a year, compared with the £5,000 bursary announced last year by the UK Government in England. These Scottish paramedic students can also apply for other associated additional allowances.
“Scottish paramedic students studying in the rest of the UK will continue to receive the current undergraduate funding package of tuition fee loan, income-assessed living cost loans and bursary, as well as other additional grants they may be entitled to.
""Our allied health professionals are the third largest part of our NHS workforce and this announcement underlines our determination to remobilise the service as we emerge safely from the pandemic lockdown.""
Pauline Howie, Chief Executive of the Scottish Ambulance Service, said: “This is fantastic news for current and prospective students across the country. They are an important part of our workforce and this announcement will be a real boost which will help encourage the paramedics of the future. 
""Our staff do an amazing job each day and this additional financial support is welcome.
“Student paramedics have been in paid employment in a variety of roles during the pandemic and we are continuing to recruit additional staff across a variety of roles to help further improve services for patients.”
BACKGROUND
The scheme is open to Scottish-domiciled paramedic science students at universities in Scotland. 
Paramedic students who have not applied for funding ahead of the 2021/22 academic year should apply for the new Paramedic, Nursing and Midwifery Student Bursary (PNMSB). Those who have already applied will have awards automatically updated to take account of the new bursary and do not need to contact the Student Awards Agency Scotland.  
For more information please visit www.saas.gov.uk or for the Budget and Funding calculators please visit Student Information Scotland - Funding, Finance and Student Life            ",2021-07-01,"£10,000 bursary for paramedic students"
"178","
                    
                        More than £14 million awarded to low income households.
                    

A total of 144,128 COVID Winter Hardship Payments have been made to families.
The payments are available to families with children receiving Free School Meals on the basis of low income, with £14.41 million given to households as part of the Scottish Government’s Winter Plan for Social Protection.
A one-off payment of £100 was made, by local authorities, for each eligible child in receipt of Free School Meals between 30 November and the start of the winter holidays.
Communities Secretary Aileen Campbell said:
“We know that many families are struggling financially due to the pandemic, whether through lost earnings, increased food costs or simply needing to run their heating more. This additional payment will hopefully have helped ease the strain they are facing.
“We have now provided over £50 million in additional funding to local authorities to continue the provision of Free School Meals during school closures, periods of online learning and holidays from the summer, and we are committed to do so through the forthcoming Easter holidays.
“The provision of Free School Meals outside of term time and the £100 payment are just two of the ways we’re working to support people and communities. We have invested over £500 million to mitigate the negative impacts of the pandemic, which includes a £22 million increase to our Scottish Welfare Fund and considerable investment in support provided by community and third sector organisations.
“With our Scottish Child Payment also due to start next week, we are showing our commitment to tackling poverty and inequality through this pandemic and beyond.”
Background
The £100 million Winter Plan for Social Protection was developed to mitigate social harms posed by the concurrent risks of COVID-19, winter cost of living increases and EU exit, as well as to promote equality and human rights.
Families are eligible for their children to receive Free School Meals, on the basis of low income, if they receive certain benefits or their local council considers they are facing financial hardship. Further information on eligibility and how to register can be found at School meals - mygov.scot
Funding for Free School Meals has been provided as follows:
April - June 2020: £15 million - remote learning
July - Sept 2020: £12.6 million - summer holidays
Oct 2020 - March 2021: £6.95 million - Oct, Christmas and Feb holidays
Jan 2021: £7.057 million – remote learning
Feb 2021: £5.841 million – remote learning
April 2021: £4.29 million - Easter holidays
This funding has enabled local authorities to ensure that every eligible child has continued to receive a free school meal alternative – direct payment, voucher or food parcel – throughout the COVID-19 pandemic.
Information on the COVID Winter Hardship Payment can be found at: COVID winter hardship payment (£100 per child) - mygov.scot            ",2021-02-12,"Financial help for families in need"
"179","
                    
                        New network set up to give platform for young people across Scotland’s islands.
                    

Children and young people from all 96 of Scotland’s inhabited islands will be able to have their say and make their voice heard on issues in their communities through the setting up of a new forum.
The new Young Islanders Network will enable children and young people to help shape the delivery of the National Islands Plan, ensuring that their interests and priorities are properly considered.
The network will also give those involved an opportunity to build their confidence, develop key skills such as leadership and organisation and to develop new relationships and friendships with others.
The network will explore issues such as the depopulation of islands and, crucially, will provide an opportunity for our young islanders to raise the issues that matter to them most and make their views known.
Islands Minister Paul Wheelhouse, said:
“I am pleased that the Scottish Government is able to now establish this new and exciting network. The Network creates a great opportunity for children and young people on our islands to get involved in having their say and making their views known on key islands’ issues and to help shape the future of their communities.
“Our extensive National Islands Plan consultation made it clear that a Network of this nature would be hugely beneficial, and that it will help to provide us with a better understanding of the experiences and views of children and young people and, through that, ultimately help us to create a better, more diverse living experience for all our islanders of all ages.
“The Network will also be hugely beneficial to those involved, as they will have the chance to be part of an exciting project, gaining valuable insights and developing themselves at the same time. I encourage all children and young people living on our islands to get involved, if they can – and I say to them: if you take the time to make your voice heard, the Government and I will take the time to listen to you.”
Youth Scotland is setting up the new forum. Youth Scotland’s Chief Executive Ian McLaughlan, said:
""Youth Scotland believes in better outcomes for all young people - whether that's in our urban cities and towns, rural communities or Scotland's island communities. We are proud of our reach, membership and participation within the island communities. The Young Islander's Challenge is another fantastic opportunity to not only be inclusive of young people living there, but to put them front and centre of a project for and about them.
“Thanks to our partnership with the Scottish Government and our island communities, we can work together to deliver both short-term and lasting impact. I would urge any young person or group in our island communities to jump in, have your say and be part of something bigger!""
Background  
The Young Islanders Network will meet virtually, in line with current coronavirus restrictions.
Groups involved in the network will be from Shetland; Orkney; Lewis & Harris; Uist and Barra; Skye; Mull; Islay; and Arran.
The project will also include delivery of a 5 week online mental health awareness programme through Mental Health partners Place2Be for those working with young islanders.
The full cost for delivering the Pilot Young Islanders Network will be £28,500.
Young Islanders Challenge
Sign up for the Young Islanders Challenge            ",2021-01-16,"Young islanders to have their say"
"180","
                    
                        13,000 Child Winter Heating Assistance payments made.
                    

Thousands of families of disabled children in Scotland have received an additional £200 to help heat their homes this winter.
More than 13,000 families of a disabled child, on the highest rate care component of Disability Living Allowance for Children, have had a Child Winter Heating Assistance payment. These payments were made automatically using information provided by the Department for Work and Pensions.
As of Friday 11 December, a total of £2.5 million has been invested in Child Winter Heating Assistance payment.
Where a child has someone managing their benefits, Social Security Scotland has written to them to enable them to process this payment.
Cabinet Secretary for Social Security and Older People Shirley-Anne Somerville said:
“I am delighted that we have successfully delivered our first disability benefit, the new Child Winter Heating Assistance.
“Getting this money to families as early as possible in the winter months will help them budget and balance the many financial pressures that they face at this time of year.  For families of the most seriously disabled children and young people, who may need to heat their homes for longer periods, this can bring even more pressure in what is already a challenging circumstance.
“We are committed to making sure that people get everything they are entitled to. I would encourage families who think that they should have received this support and who haven’t had a letter yet to get in touch.”
Samantha Jones, from Helensburgh, who received the Child Winter Heating Assistance for her two children, Darren and Jacob, said:
“I was very happy to see that Social Security Scotland were issuing these payments for children across Scotland.
“This will be a very helpful payment especially at this time of year for families like ours, this will really help and benefit our family and it’s very much appreciated.
“Having the extra money to help with heating costs is one less financial pressure that we have to think about on top of the cost of Christmas.”
Background 
a client will qualify for Child Winter Heating Assistance if they live in Scotland and were in receipt of the highest rate care component of Disability Living Allowance for children on at least one day between 21 September 2020 to 27 September 2020
if a child has had their Disability Living Allowance highest rate care component award backdated to the Child Winter Heating Assistance qualifying week of 21 September 2020 to 27 September 2020 they need to contact Social Security Scotland to get their £200.
if a family believes that they are eligible for this payment and they haven’t had a letter or a payment, they should contact Social Security Scotland from Tuesday 15 December by calling the Freephone helpline on 0800 182 2222 or through web chat at mygov.scot/contact-social-security-scotland/
this is the first form of disability assistance to be introduced by the Scottish Government using its new social security powers.
financial support provided through the Child Winter Heating Assistance is in addition to the £100 COVID Winter Hardship Payment which will be made for each child and young person in receipt of Free School Meals on the basis of low income. These payments will be made by local authorities automatically for those eligible.
further information on this payment can be found at COVID winter hardship payment (£100 per child) - mygov.scot
further support for anyone concerned about fuel bills is available from Home Energy Scotland.  Home Energy Scotland are funded by the Scottish Government to provide free and impartial advice to help people to reduce their bills and to make homes warm and cheaper to heat.  They can also make referrals for further financial support, including the Warm Home Discount Scheme.  Anyone concerned about their bills can contact Home Energy Scotland on 0808 808 2282 or visit their website at homeenergyscotland.org
",2020-12-17,"Over £2.5 million for families of disabled children"
"181","
                    
                        £100 million package will help communities at risk.
                    

Funding to help people pay for food, heating, warm clothing and shelter during the winter is part of a new £100m support package.
The fund will help those on low incomes, children and people at risk of homelessness or social isolation cope with winter weather and the economic impact of coronavirus (COVID-19) and Brexit.
The Winter Plan for Social Protection, announced by First Minister Nicola Sturgeon, will also address domestic abuse and digital exclusion.
COVID-19 has had a significant negative effect on Scotland’s economy hitting jobs and living standards hard - and Brexit will exacerbate the situation.
With winter approaching, some of Scotland’s most at-risk communities are facing rising costs for food, fuel and other essentials.
Key elements of the plan include:
£22m for low income families including £16m to give the low income families of an estimated 156,000 children in receipt of free school meals a one-off £100 payment by Christmas
£23.5m to help vulnerable children through additional support for residential and care homes, social work, and the Children’s Hearing system
£15m for the Communities and Third Sector Recovery Programme to support the work of local organisations
£5.9m to promote digital inclusion for older people, support social isolation and loneliness and to promote equality
£7m to help people who are struggling to pay fuel bills
£5m to help those at risk of homelessness find a settled home
The Winter Plan for Social Protection also includes £15m of flexible funding for local authorities entering COVID-19 protection level 4 - announced by the First Minister earlier this month – which can be used to pay for food and essentials.
The First Minister said:
“We will shortly become the only part of the UK to give low income families an extra £10 per week for every child - initially for children up to age 6 and then for every child up to age 16.
“This has been described as a game changer in the fight to end child poverty. The first payments will be made in February, but I know that for families struggling now, February is still a long way off.
“So I am announcing today a £100 million package to bridge that gap, and help others struggling most with the impact of COVID over the winter months.
“It will include money to help people pay their fuel bills and make sure children don’t go hungry. It will offer additional help for the homeless, and fund an initiative to get older people online and connected. And it will provide a cash grant of £100 for every child in receipt of Free School Meals as a result of low income.” 
“The money will be paid before Christmas and families can use it for whatever will help them through the winter.
“That could be food, new shoes or a winter coat for the kids. Families will know best what they need - that’s not for government to decide.
“Initiatives like this are not just about providing practical help to those who need it most - they are an expression of our values and of the kind of country we are seeking to build.”
Background
The £100m Winter Plan for Social Protection has been developed to mitigate social harms posed by the concurrent risks of COVID-19, winter cost of living increases and EU exit, as well as to promote equality and human rights.
The full breakdown of the £100m fund is:
Support for families on low incomes (£22m)
Supporting services for children and young people (£23.5m)
Enhancing capacity within the third sector and communities (£15m)
Funds for local authorities moving into level 4 (£15m)
Further help with fuel costs (£7m)
Further investment in strategic national food activity (£2m)
Further investment to support people affected by homelessness (£5.14m)
Increased digital inclusion through Connecting Scotland for older people, support for social isolation and loneliness and strategic investment to promote equality (£5.91m)
A campaign on benefit uptake and income maximisation (£0.25m)
Reserve fund to meet potential pressures (£4.2m)            ",2020-11-30,"Winter support fund for families and children"
"182","
                    
                        Measures to help protect health services, the economy and communities.
                    

Contingency plans have been put in place by the Scottish Government to cope with the damaging impacts of Brexit.
Measures to mitigate the worst effects of leaving the European Union (EU) on December 31 will target support at health services, businesses and at risk communities.
With just five weeks to go to the end of the transition period, the UK Government and the EU are still in negotiations over the terms of Brexit with both a no deal and ‘low deal’ still on the table.
The deal favoured by the UK Government and the prospect of no deal will see Scotland taken out of the Single Market and the Customs Union and mean the end of freedom of movement, negatively impacting jobs and living standards.
Current concerns include the introduction of tariffs, shortages of medical supplies and disruption to imports and exports from new border controls and customs restrictions.
Support measures put in place in Scotland include:
working with UK administrations to ensure patients get the medicines and medical supplies needed
ensuring businesses struggling with cash flow are supported by working with banks through the Banking and Economy Forum
Scottish Enterprise offering targeted advice and guidance to 1200 companies assessed as being particularly vulnerable to Brexit by the end of the year
Refreshed advice, guidance and support to help all Scottish businesses be ready for the end of transition through the Prepare for Brexit website, including EU Exit Helpline, self-help checklist, webinars, articles and newsletters
£30 million flexible funding to enable local authorities to tackle financial insecurity over the winter, including extension of free school meals during school holidays
the Scottish Funding Council and Skills Development Scotland working with universities and colleges to ensure they meet the needs of a post-Brexit labour market
the Scottish Government’s resilience room (SGORR) will activate in December to coordinate the government response to the most significant issues arising post-exit
Constitution Secretary Michael Russell said:
“It is beyond belief that, in the midst of a global pandemic, Scotland is just five weeks away from being removed from the EU Single Market and Customs Union against its will by the UK Government.
“Whatever the outcome of the current negotiations between the UK and the EU we know Scotland’s economy and its communities are facing unnecessary damage at the worst possible time.
“The Scottish Government  will  continue to do everything we can to mitigate against the consequences of the UK Government’s reckless actions to support, as much as we can, our economy, health services and vulnerable communities.
“We will continue that work throughout the transition period and beyond, but the stark truth is that we simply cannot avert every negative outcome and our view is clear that the best future for Scotland is to become an independent country.
“Only by becoming independent can Scotland look forward to once again becoming an equal partner in the EU and take advantage of all the benefits that membership brings.”
Background
Scottish Government modelling of a basic trade agreement estimates that Scottish GDP would be 6.1% lower by 2030 compared to continued EU membership. This equates to a cost to each person in Scotland of an equivalent to £1,600.
A no-deal Brexit scenario has greater economic implications and could see the economy 8.5% smaller by 2030 compared to a scenario of continued EU membership.            ",2020-11-25,"Vital support to offset Brexit damage"
"183","
                    
                        Letter urges UK-wide benefit strategy.
                    

The devolved administrations have united to call on the UK Government to ensure those who are entitled to financial support are receiving it.
Social Security Secretary Shirley-Anne Somerville has joined Ministers from Wales and Northern Ireland in writing to the Secretary of State for Work and Pensions, Thérèse Coffey, asking to work together to create a benefit take-up strategy.
The devolved nations have also asked the UK Government to make permanent the current £20 a week increase for Universal Credit (UC) and extend it to the benefits which will eventually be replaced by UC, such as Working Tax Credits. The uplift was introduced to help low-income families cope with the extra cost of the COVID-19 outbreak, and is to come to an end in April 2021.
Ms Somerville said: “It’s vital that we make every effort to ensure everyone is aware of and able to access the support available to them.
“Maximising benefit take-up is a moral obligation, especially in these uncertain times when there is clear evidence of increased need for support.
“The £20 uplift was needed before the pandemic, and so it is vital now. People must be given the certainty that it will be made permanent and that they are not facing a cliff edge in a matter of months when this support is pulled.”
The Welsh Government's Deputy Minister for Housing and Local Government Hannah Blythyn said:
“The pandemic will cast a long shadow on those who are most in need and has reiterated the importance of a robust financial safety net for individuals and families, ensuring existing funding programmes have the maximum impact on the lives of those in poverty.
""Having a strategic UK approach will ensure that everyone can get the support they need during this difficult time.”
The Scottish Government published its first Benefit Take-up Strategy in October 2019, and will publish the next one by October 2021.
The Welsh Government has outlined steps it will take to maximise the incomes of families living in poverty in its Child Poverty Income Maximisation Action Plan.
Northern Ireland’s benefit take-up initiative Make the Call has generated over £260 million in additional annual benefits for its residents since 2005. It aims to ensure that every individual and household is receiving all the social security benefits and other supports and services to which they are entitled. The most recent results for 2019/20 show that this has benefited just under 10,000 people who are now better off by an average of £88 per person per week.
The Department for Work and Pensions has no published approach to promoting UK benefits or supporting people to access the money which they are due.
Many people need to be in receipt of a DWP benefit in order to claim other benefits – for example the Scottish Child Payment, where eligibility is reliant on receipt of UC, or Pension Credit which means people can claim a Council Tax reduction, or those over 75 qualify for a free TV licence. So it is vital people are aware of what they are entitled to.
Background
The letter can be read in full (see attached).
As part of their Benefit Take-up Report – published 11 March 2020 – the Scottish Parliament’s Social Security Committee recommended that the UK Government develops a strategy that aims to maximise take-up of reserved benefits across the UK.
A report by the National Association of Welfare Rights Advisors, published in September 2020, showed a 40% reduction in claims for Personal Independence Payment (PIP) being made during the pandemic. Almost 90% of those surveyed have never seen a take-up advert for PIP.
Independent Age has called for ‘an ambitious action plan detailing how (the UK government) will work to increase the uptake of Pension Credit over the next five years’. More details here. This follows research which concluded that if Pension Credit take-up was lifted from 61 per cent to 100 per cent, then almost 450,000 pensioners could be lifted out of poverty, reducing pensioner poverty to its lowest ever level, and resulting in substantial savings to the NHS and social care systems over the long term.              ",2020-11-15,"Devolved nations call for joint effort to reach those in need"
